"","emp_percent","excl_percent","earn_ratio","pc_live","pc_secure","pc_voted","pc_voted.1","hp_ratio","AccScore","Cluster","include"
"E01006095",80.1596351197263,4.61320085166785,3.40020409288657,86.1685214626391,90.5277401894452,86.2728062554301,77.3240660295395,8.26884920634921,5,3,"YES"
"E01006096",80.9399477806788,2.76647681041497,3.78323108384458,84.7490347490347,90.6645569620253,85.1172273190622,79.5107033639144,14.6959583333333,1,2,"YES"
"E01006097",78.7209302325581,3.91527599486521,3.82050477695103,87.787610619469,91.5680473372781,83.7881219903692,77.2873194221509,6.59174242424242,0,3,"YES"
"E01006098",76.672384219554,4.93230174081238,3.9136381556482,88.6934673366834,89.3390191897655,84.8809523809524,82.0238095238095,14.7231439393939,3,2,"YES"
"E01006099",79.3918918918919,4.67836257309941,3.69541355553951,86.2144420131291,92.1606118546845,83.9506172839506,76.9135802469136,11.627,2,3,"YES"
"E01006100",77.2027972027972,5.66666666666667,4.12249705535925,85.0597609561753,91.0958904109589,81.5463917525773,78.8659793814433,16.1315366392446,1,2,"YES"
"E01006101",78.8873038516405,3.16239316239316,4.05851800114909,87.6739562624254,90.9698996655518,87.3326467559217,81.8743563336766,13.8643508424233,2,2,"YES"
"E01006102",74.1463414634146,5.35211267605634,3.83407503499497,84.8780487804878,91.5948275862069,78.7003610108303,78.0986762936221,11.7864886731392,4,3,"YES"
"E01006103",81.2581913499345,3.16301703163017,3.92224015887821,86.1646234676007,91.3897280966767,86.0809476801579,81.1451135241856,13.3157147319138,2,2,"YES"
"E01006104",73.6920777279522,7.33279613215149,3.1852495572262,77.6617954070981,93.978102189781,71.9751809720786,73.3195449844881,7.0460682880298,3,4,"YES"
"E01006105",62.7828054298643,13.2554945054945,3.88235752535183,71.3131313131313,93.3453237410072,71.5533980582524,61.2621359223301,5.99258831672902,2,1,"YES"
"E01006106",66.40625,8.09682804674457,3.73068863824503,74.7016706443914,91.5611814345992,69.7727272727273,68.8636363636364,7.44860215053763,2,4,"YES"
"E01006107",66.612641815235,9.41850941850942,3.98775339250055,75.9036144578313,92.1161825726141,68.1257014590348,69.9214365881033,8.07133662216122,3,4,"YES"
"E01006108",57.4047954866008,14.4987572493786,3.60081610293348,68.3510638297872,93.3168316831683,67.7540777917189,56.9636135508156,5.60672222222222,2,1,"YES"
"E01006109",60.539629005059,14.852492370295,3.31607850516077,74.025974025974,93.3147632311978,71.4918759231905,64.2540620384047,5.1754358974359,1,1,"YES"
"E01006110",62.9802095459837,10.1173020527859,3.96933684294377,78.5714285714286,89.3457943925234,72.2560975609756,71.849593495935,8.81859315677583,0,4,"YES"
"E01006111",53.3013205282113,12.4237804878049,4.25194800654891,75.2747252747253,90,72.8902953586498,63.2911392405063,9.15220430107527,1,1,"YES"
"E01006112",54.3478260869565,10.2200141944642,4.508182848532,69.9228791773779,86.6090712742981,68.5831622176591,69.3018480492813,11.4281111111111,0,5,"YES"
