Area,Increase,Band A,Band B,Band C,Band D,Band E,Band F,Band G,Band H,Band I,notes
Northumberland,3.53%,"£1,370.29 ","£1,598.67 ","£1,827.06 ","£2,055.44 ","£2,512.20 ","£2,968.97 ","£3,425.73 ","£4,110.88 ",,
Norwich,3.94%,"£1,350.46 ","£1,575.54 ","£1,800.61 ","£2,025.69 ","£2,475.84 ","£2,926.00 ","£3,376.15 ","£4,051.38 ",,
Nuneaton & Bedworth,3.29%,"£1,353.42 ","£1,578.99 ","£1,804.56 ","£2,030.13 ","£2,481.27 ","£2,932.41 ","£3,383.55 ","£4,060.26 ",,
Oadby & Wigston,4.72%,"£1,308.53 ","£1,526.62 ","£1,744.71 ","£1,962.80 ","£2,398.98 ","£2,835.15 ","£3,271.33 ","£3,925.60 ",,
Oldham,3.05%,"£1,358.29 ","£1,584.67 ","£1,811.05 ","£2,037.43 ","£2,490.19 ","£2,942.95 ","£3,395.72 ","£4,074.86 ",,
Oxford,3.25%,"£1,420.43 ","£1,657.16 ","£1,893.90 ","£2,130.64 ","£2,604.12 ","£3,077.59 ","£3,551.07 ","£4,261.28 ",,
Pendle,3.84%,"£1,419.06 ","£1,655.57 ","£1,892.08 ","£2,128.59 ","£2,601.61 ","£3,074.63 ","£3,547.65 ","£4,257.18 ",,
Peterborough,4.98%,"£1,199.93 ","£1,399.91 ","£1,599.90 ","£1,799.89 ","£2,199.87 ","£2,599.84 ","£2,999.82 ","£3,599.78 ",,
Plymouth,5.05%,"£1,319.94 ","£1,539.93 ","£1,759.92 ","£1,979.91 ","£2,419.89 ","£2,859.87 ","£3,299.85 ","£3,959.82 ",,
Portsmouth,5.13%,"£1,214.51 ","£1,416.92 ","£1,619.34 ","£1,821.76 ","£2,226.60 ","£2,631.43 ","£3,036.27 ","£3,643.52 ",,
Preston,3.93%,"£1,394.33 ","£1,626.71 ","£1,859.10 ","£2,091.49 ","£2,556.27 ","£3,021.04 ","£3,485.82 ","£4,182.98 ",,
Reading,5.10%,"£1,384.55 ","£1,615.31 ","£1,846.07 ","£2,076.83 ","£2,538.35 ","£2,999.86 ","£3,461.38 ","£4,153.66 ",,
Redbridge,5.88%,"£1,192.93 ","£1,391.75 ","£1,590.57 ","£1,789.39 ","£2,187.03 ","£2,584.67 ","£2,982.32 ","£3,578.78 ",,
Redcar & Cleveland,3.62%,"£1,377.81 ","£1,607.44 ","£1,837.07 ","£2,066.71 ","£2,525.98 ","£2,985.25 ","£3,444.52 ","£4,133.42 ",,
Redditch,2.92%,"£1,280.82 ","£1,494.29 ","£1,707.76 ","£1,921.23 ","£2,348.17 ","£2,775.11 ","£3,202.05 ","£3,842.46 ",,
Reigate & Banstead,2.87%,"£1,386.57 ","£1,617.66 ","£1,848.75 ","£2,079.85 ","£2,542.04 ","£3,004.23 ","£3,466.42 ","£4,159.70 ",,
Ribble Valley,3.86%,"£1,287.72 ","£1,502.34 ","£1,716.96 ","£1,931.58 ","£2,360.82 ","£2,790.06 ","£3,219.30 ","£3,863.16 ",,
Richmondshire,3.11%,"£1,343.93 ","£1,567.91 ","£1,791.90 ","£2,015.89 ","£2,463.87 ","£2,911.84 ","£3,359.82 ","£4,031.78 ",,
Rochdale,4.74%,"£1,357.75 ","£1,584.04 ","£1,810.33 ","£2,036.62 ","£2,489.20 ","£2,941.78 ","£3,394.37 ","£4,073.24 ",,
Rochford,1.87%,"£1,277.19 ","£1,490.06 ","£1,702.92 ","£1,915.79 ","£2,341.52 ","£2,767.25 ","£3,192.98 ","£3,831.58 ",,
Rossendale,4.11%,"£1,361.85 ","£1,588.83 ","£1,815.80 ","£2,042.78 ","£2,496.73 ","£2,950.68 ","£3,404.63 ","£4,085.56 ",,
Rother,4.15%,"£1,413.79 ","£1,649.42 ","£1,885.05 ","£2,120.68 ","£2,591.94 ","£3,063.20 ","£3,534.47 ","£4,241.36 ",,
Rotherham,3.42%,"£1,299.31 ","£1,515.86 ","£1,732.41 ","£1,948.96 ","£2,382.06 ","£2,815.16 ","£3,248.27 ","£3,897.92 ",,
Rugby,3.38%,"£1,339.55 ","£1,562.81 ","£1,786.07 ","£2,009.33 ","£2,455.85 ","£2,902.36 ","£3,348.88 ","£4,018.66 ",,
Runnymede,2.95%,"£1,339.49 ","£1,562.74 ","£1,785.99 ","£2,009.24 ","£2,455.74 ","£2,902.23 ","£3,348.73 ","£4,018.48 ",,
