"","Date","CPI"
"90",199506,51.0996462040804
"91",199507,50.8329734766699
"92",199508,51.0761608218368
"93",199509,51.3261665037842
"94",199510,51.1860118032985
"95",199511,51.1882845822253
"96",199512,51.4890489935377
"97",199601,51.3458639211497
"98",199602,51.5882936733411
"99",199603,51.8026924854353
"100",199604,52.0723955847481
"101",199605,52.2330052955749
"102",199606,52.28376402494
"103",199607,51.9519383016281
"104",199608,52.2299749236725
"105",199609,52.4875565353758
"106",199610,52.4686167109858
"107",199611,52.5057387667901
"108",199612,52.6671060705925
"109",199701,52.4489192936203
"110",199702,52.5761949135208
"111",199703,52.6898338598604
"112",199704,52.8837776616135
"113",199705,53.0474177443427
"114",199706,53.1587839117556
"115",199707,52.988325492246
"116",199708,53.2625741494125
"117",199709,53.4504572073608
"118",199710,53.4640938809215
"119",199711,53.514095017311
"120",199712,53.5678841185784
"121",199801,53.223936907657
"122",199802,53.4087895937029
"123",199803,53.5618233747737
"124",199804,53.8436479616961
"125",199805,54.1292605134965
"126",199806,54.0489556580831
"127",199807,53.7527368046243
"128",199808,53.9694083956453
"129",199809,54.2042622180807
"130",199810,54.1936559164223
"131",199811,54.2360811230558
"132",199812,54.4012363917362
"133",199901,54.0671378894975
"134",199902,54.1595642325204
"135",199903,54.4557830859792
"136",199904,54.6739698629514
"137",199905,54.8360947597294
"138",199906,54.7785176935839
"139",199907,54.4535103070524
"140",199908,54.620180761684
"141",199909,54.8398827246074
"142",199910,54.7966999249983
"143",199911,54.8762471874361
"144",199912,55.0126139230437
"145",200001,54.4982082926127
"146",200002,54.667151526171
"147",200003,54.8027606688031
"148",200004,54.9807950180686
"149",200005,55.130798427237
"150",200006,55.2103456896748
"151",200007,54.9315514746547
"152",200008,54.9451881482155
"153",200009,55.3671674356235
"154",200010,55.3421668674288
"155",200011,55.4595937786465
"156",200012,55.4558058137685
"157",200101,54.9656431585566
"158",200102,55.1141313817738
"159",200103,55.3004992537709
"160",200104,55.6224762684
"161",200105,56.0467283347349
"162",200106,56.1573369091722
"163",200107,55.7277816920082
"164",200108,55.9497564338583
"165",200109,56.1027902149291
"166",200110,56.0111214648818
"167",200111,55.9012704834201
"168",200112,56.0429403698569
"169",200201,55.861875648689
"170",200202,55.9285438305416
"171",200203,56.1497609794162
"172",200204,56.3846148018516
"173",200205,56.5103752358008
"174",200206,56.5035568990204
"175",200207,56.3437047811693
"176",200208,56.5058296779472
"177",200209,56.6596210519936
"178",200210,56.7770479632113
"179",200211,56.7649264756017
"180",200212,56.9740221368667
"181",200301,56.6081047296529
"182",200302,56.8111396471132
"183",200303,57.0126593786222
"184",200304,57.1997848435949
"185",200305,57.2194822609605
"186",200306,57.1285711038887
"187",200307,57.0816003394017
"188",200308,57.2914535936423
"189",200309,57.4694879429078
"190",200310,57.5460048334432
"191",200311,57.5210042652484
"192",200312,57.6975234285628
"193",200401,57.4149412486647
"194",200402,57.5414592755896
"195",200403,57.6437343272953
"196",200404,57.8482844307068
"197",200405,58.0596528708986
"198",200406,58.032379523777
"199",200407,57.8838913005599
"200",200408,58.0331371167527
"201",200409,58.0907141828981
"202",200410,58.2422327780177
"203",200411,58.3581445032842
"204",200412,58.6626968794745
"205",200501,58.3460230156746
"206",200502,58.492238459965
"207",200503,58.7452745138147
"208",200504,58.9733099994697
"209",200505,59.1710417661007
"210",200506,59.2005878921491
"211",200507,59.238467540929
"212",200508,59.432411342682
"213",200509,59.5202921278514
"214",200510,59.6096880989719
"215",200511,59.6066577270695
"216",200512,59.7877224482375
"217",200601,59.4816548860959
"218",200602,59.6824170246293
"219",200603,59.8089350515542
"220",200604,60.1703069009144
"221",200605,60.4968294733971
"222",200606,60.6763790086138
"223",200607,60.6415297317363
"224",200608,60.90592968022
"225",200609,60.9559308166095
"226",200610,61.0521451245104
"227",200611,61.2157852072395
"228",200612,61.5726114987462
"229",200701,61.0960855170951
"230",200702,61.3521519428472
"231",200703,61.6423100525012
"232",200704,61.8362538542543
"233",200705,62.008227459715
"234",200706,62.143836602347
"235",200707,61.7657977075237
"236",200708,61.9847420774714
"237",200709,62.0279248770805
"238",200710,62.3302044743441
"239",200711,62.4968749289757
"240",200712,62.8552164064335
"241",200801,62.4309643400986
"242",200802,62.8779441957014
"243",200803,63.1597687826238
"244",200804,63.6726592271036
"245",200805,64.0802442479753
"246",200806,64.5181329878709
"247",200807,64.5052539072858
"248",200808,64.9052629984015
"249",200809,65.2605741039569
"250",200810,65.1045099509837
"251",200811,65.0332962112775
"252",200812,64.7726842276718
"253",200901,64.3029765828011
"254",200902,64.8598074198656
"255",200903,64.9704159943029
"256",200904,65.1249649613249
"257",200905,65.4870944036607
"258",200906,65.674977461609
"259",200907,65.6514920793654
"260",200908,65.946195746873
"261",200909,65.9734690939946
"262",200910,66.0886232262854
"263",200911,66.2742335053069
"264",200912,66.6469692493011
"265",201001,66.537875860815
"266",201002,66.7833359849087
"267",201003,67.1689508094881
"268",201004,67.5545656340674
"269",201005,67.7083570081138
"270",201006,67.8091168738683
"271",201007,67.6568406857732
"272",201008,68.0045758615726
"273",201009,68.0053334545482
"274",201010,68.1795798389357
"275",201011,68.4341310787366
"276",201012,69.1152071637992
"277",201101,69.1773297877982
"278",201102,69.6887050463268
"279",201103,69.8811336621287
"280",201104,70.57963438563
"281",201105,70.7235770509936
"282",201106,70.6576664621166
"283",201107,70.6546360902142
"284",201108,71.0697970408418
"285",201109,71.5266256051274
"286",201110,71.5766267415168
"287",201111,71.6940536527345
"288",201112,72.0160306673636
"289",201201,71.6508708531254
"290",201202,72.0826988492163
"291",201203,72.2993704402373
"292",201204,72.7281680644257
"293",201205,72.6849852648166
"294",201206,72.3880088183822
"295",201207,72.463768115942
"296",201208,72.8304431161314
"297",201209,73.1016614013955
"298",201210,73.4872762259748
"299",201211,73.6031879512413
"300",201212,73.9441047902604
"301",201301,73.5956120214853
"302",201302,74.0888050485996
"303",201303,74.3463866603029
"304",201304,74.4888141397153
"305",201305,74.6471510716153
"306",201306,74.5009356273248
"307",201307,74.4676015363985
"308",201308,74.7895785510277
"309",201309,75.0547360924869
"310",201310,75.0971612991204
"311",201311,75.1373137268271
"312",201312,75.4479268468223
"313",201401,74.9857951317075
"314",201402,75.3661068054577
"315",201403,75.5403531898452
"316",201404,75.8092986961825
"317",201405,75.7623279316954
"318",201406,75.9130889338394
"319",201407,75.6547497291605
"320",201408,75.9479382107169
"321",201409,75.9752115578384
"322",201410,76.0653651219346
"323",201411,75.8668757623279
"324",201412,75.8608150185231
"325",201501,75.1971635718994
"326",201502,75.3895921877012
"327",201503,75.5327772600892
"328",201504,75.7176299461351
"329",201505,75.8464207519868
"330",201506,75.8827852148155
"331",201507,75.7653583035978
"332",201508,75.9539989545217
"333",201509,75.8805124358887
"334",201510,75.9812723016432
"335",201511,75.9509685826193
"336",201512,76.0138487995939
"337",201601,75.4176231277984
"338",201602,75.6039909997954
"339",201603,75.8820276218399
"340",201604,75.9350591301317
"341",201605,76.0790017954953
"342",201606,76.2320355765661
"343",201607,76.1918831488594
"344",201608,76.43961605188
"345",201609,76.6214383660235
"346",201610,76.6721970953885
"347",201611,76.8358371781177
"348",201612,77.1987242134291
"349",201701,76.7865936347038
"350",201702,77.3411516928415
"351",201703,77.6396433252271
"352",201704,77.9934392448313
"353",201705,78.2661727160466
"354",201706,78.2472328916566
"355",201707,78.1949589763404
"356",201708,78.6267869724312
"357",201709,78.8889141419881
"358",201710,78.9730069622794
"359",201711,79.2116487495928
"360",201712,79.4934733365152
"361",201801,79.0821003507655
"362",201802,79.4358962703698
"363",201803,79.5480200307583
"364",201804,79.8510572209974
"365",201805,80.160912748017
"366",201806,80.1616703409926
"367",201807,80.1298514360175
"368",201808,80.7124404342523
"369",201809,80.7972908475192
"370",201810,80.8616862504451
"371",201811,81.0412357856618
"372",201812,81.1662386266354
"373",201901,80.5434972006939
"374",201902,80.9207785025417
"375",201903,81.0654787608809
"376",201904,81.542004742532
"377",201905,81.7806465298454
"378",201906,81.7692826352114
"379",201907,81.781404122821
"380",201908,82.1041387304257
"381",201909,82.1829283998879
"382",201910,82.0458040713046
"383",201911,82.2359599081797
"384",201912,82.2230808275946
"385",202001,81.9685295877937
"386",202002,82.3041432759835
"387",202003,82.3003553111055
"388",202004,82.1677765403759
"389",202005,82.1730796912051
"390",202006,82.2624756623257
"391",202007,82.6321810344174
"392",202008,82.284445858618
"393",202009,82.6200595468079
"394",202010,82.6177867678811
"395",202011,82.4950567058342
"396",202012,82.7071827390016
"397",202101,82.5427850632969
"398",202102,82.6450601150026
"399",202103,82.8882474601695
"400",202104,83.4215929149905
"401",202105,83.9109979772268
"402",202106,84.330704485708
"403",202107,84.3178254051228
"404",202108,84.914808669894
"405",202109,85.1648143518413
"406",202110,86.0928657469488
"407",202111,86.7269710675243
"408",202112,87.1618294355175
"409",202201,87.045917710251
"410",202202,87.7497215845815
"411",202203,88.709591884664
"412",202204,90.9384304188732
"413",202205,91.5323833117419
"414",202206,92.2680060910475
"415",202207,92.8346856367948
"416",202208,93.2960597589339
"417",202209,93.7627370319022
"418",202210,95.6074759274832
"419",202211,95.9824844504042
"420",202212,96.3385531489352
"421",202301,95.7953589854315
"422",202302,96.8900808351705
"423",202303,97.6310067653053
"424",202304,98.8120942142624
"425",202305,99.478018439813
"426",202306,99.6030212807867
"427",202307,99.1727084706471
"428",202308,99.5068069728857
"429",202309,100
