DZ2011_Code,DZ2011_Name,IZ2011_Code,IZ2011_Name,MMWard_Code,MMWard_Name,LA_Code,LA_Name,SPC_Code,SPC_Name,UKPC_Code,UKPC_Name,HB_Code,HB_Name,HIA_Code,HIA_Name,SPD_Code,SPD_Name,SFRLSO_Code,SFRLSO_Name,SFRSDA_Code,SFRSDA_Name,RRP_Code,RRP_Name,LRP_Code,LRP_Name,TTWA2011_Code,TTWA2011_Name,UR2_Code,UR2_Name,UR3_Code,UR3_Name,UR6_Code,UR6_Name,UR8_Code,UR8_Name,Country_Code,Country_Name
S01006531,Garthdee - 06,S02001239,Garthdee,S13002845,Airyhall/Broomhill/Garthdee,S12000033,Aberdeen City,S16000076,Aberdeen South and North Kincardine,S14000002,Aberdeen South,S08000020,Grampian,S37000001,Aberdeen City,S32000015,North East,S39000023,"Aberdeen City, Aberdeenshire and Moray",S40000005,North,S43000005,North,S42000012,Grampian,S22000047,Aberdeen,1,Rest of Scotland,1,Rest of Scotland,1,Large Urban Areas,1,Large Urban Areas,S92000003,Scotland
S01006532,"Braeside, Mannofield, Broomhill and Seafield East - 01",S02001240,"Braeside, Mannofield, Broomhill and Seafield East",S13002845,Airyhall/Broomhill/Garthdee,S12000033,Aberdeen City,S16000074,Aberdeen Central,S14000002,Aberdeen South,S08000020,Grampian,S37000001,Aberdeen City,S32000015,North East,S39000023,"Aberdeen City, Aberdeenshire and Moray",S40000005,North,S43000005,North,S42000012,Grampian,S22000047,Aberdeen,1,Rest of Scotland,1,Rest of Scotland,1,Large Urban Areas,1,Large Urban Areas,S92000003,Scotland
S01006533,"Braeside, Mannofield, Broomhill and Seafield East - 02",S02001240,"Braeside, Mannofield, Broomhill and Seafield East",S13002845,Airyhall/Broomhill/Garthdee,S12000033,Aberdeen City,S16000076,Aberdeen South and North Kincardine,S14000002,Aberdeen South,S08000020,Grampian,S37000001,Aberdeen City,S32000015,North East,S39000023,"Aberdeen City, Aberdeenshire and Moray",S40000005,North,S43000005,North,S42000012,Grampian,S22000047,Aberdeen,1,Rest of Scotland,1,Rest of Scotland,1,Large Urban Areas,1,Large Urban Areas,S92000003,Scotland
S01006534,"Braeside, Mannofield, Broomhill and Seafield East - 03",S02001240,"Braeside, Mannofield, Broomhill and Seafield East",S13002845,Airyhall/Broomhill/Garthdee,S12000033,Aberdeen City,S16000074,Aberdeen Central,S14000002,Aberdeen South,S08000020,Grampian,S37000001,Aberdeen City,S32000015,North East,S39000023,"Aberdeen City, Aberdeenshire and Moray",S40000005,North,S43000005,North,S42000012,Grampian,S22000047,Aberdeen,1,Rest of Scotland,1,Rest of Scotland,1,Large Urban Areas,1,Large Urban Areas,S92000003,Scotland
S01006535,"Braeside, Mannofield, Broomhill and Seafield East - 04",S02001240,"Braeside, Mannofield, Broomhill and Seafield East",S13002845,Airyhall/Broomhill/Garthdee,S12000033,Aberdeen City,S16000074,Aberdeen Central,S14000002,Aberdeen South,S08000020,Grampian,S37000001,Aberdeen City,S32000015,North East,S39000023,"Aberdeen City, Aberdeenshire and Moray",S40000005,North,S43000005,North,S42000012,Grampian,S22000047,Aberdeen,1,Rest of Scotland,1,Rest of Scotland,1,Large Urban Areas,1,Large Urban Areas,S92000003,Scotland
S01006536,"Braeside, Mannofield, Broomhill and Seafield East - 05",S02001240,"Braeside, Mannofield, Broomhill and Seafield East",S13002845,Airyhall/Broomhill/Garthdee,S12000033,Aberdeen City,S16000074,Aberdeen Central,S14000002,Aberdeen South,S08000020,Grampian,S37000001,Aberdeen City,S32000015,North East,S39000023,"Aberdeen City, Aberdeenshire and Moray",S40000005,North,S43000005,North,S42000012,Grampian,S22000047,Aberdeen,1,Rest of Scotland,1,Rest of Scotland,1,Large Urban Areas,1,Large Urban Areas,S92000003,Scotland
S01006537,"Braeside, Mannofield, Broomhill and Seafield South - 01",S02001241,"Braeside, Mannofield, Broomhill and Seafield South",S13002845,Airyhall/Broomhill/Garthdee,S12000033,Aberdeen City,S16000076,Aberdeen South and North Kincardine,S14000002,Aberdeen South,S08000020,Grampian,S37000001,Aberdeen City,S32000015,North East,S39000023,"Aberdeen City, Aberdeenshire and Moray",S40000005,North,S43000005,North,S42000012,Grampian,S22000047,Aberdeen,1,Rest of Scotland,1,Rest of Scotland,1,Large Urban Areas,1,Large Urban Areas,S92000003,Scotland
S01006538,"Braeside, Mannofield, Broomhill and Seafield South - 02",S02001241,"Braeside, Mannofield, Broomhill and Seafield South",S13002845,Airyhall/Broomhill/Garthdee,S12000033,Aberdeen City,S16000076,Aberdeen South and North Kincardine,S14000002,Aberdeen South,S08000020,Grampian,S37000001,Aberdeen City,S32000015,North East,S39000023,"Aberdeen City, Aberdeenshire and Moray",S40000005,North,S43000005,North,S42000012,Grampian,S22000047,Aberdeen,1,Rest of Scotland,1,Rest of Scotland,1,Large Urban Areas,1,Large Urban Areas,S92000003,Scotland
S01006539,"Braeside, Mannofield, Broomhill and Seafield South - 03",S02001241,"Braeside, Mannofield, Broomhill and Seafield South",S13002845,Airyhall/Broomhill/Garthdee,S12000033,Aberdeen City,S16000076,Aberdeen South and North Kincardine,S14000002,Aberdeen South,S08000020,Grampian,S37000001,Aberdeen City,S32000015,North East,S39000023,"Aberdeen City, Aberdeenshire and Moray",S40000005,North,S43000005,North,S42000012,Grampian,S22000047,Aberdeen,1,Rest of Scotland,1,Rest of Scotland,1,Large Urban Areas,1,Large Urban Areas,S92000003,Scotland
S01006540,"Braeside, Mannofield, Broomhill and Seafield South - 04",S02001241,"Braeside, Mannofield, Broomhill and Seafield South",S13002845,Airyhall/Broomhill/Garthdee,S12000033,Aberdeen City,S16000076,Aberdeen South and North Kincardine,S14000002,Aberdeen South,S08000020,Grampian,S37000001,Aberdeen City,S32000015,North East,S39000023,"Aberdeen City, Aberdeenshire and Moray",S40000005,North,S43000005,North,S42000012,Grampian,S22000047,Aberdeen,1,Rest of Scotland,1,Rest of Scotland,1,Large Urban Areas,1,Large Urban Areas,S92000003,Scotland
