"num_priority_groups","run_id","count","hh_income","SF_12_MCS","total_cost","mean_cost"
2,93,582,1094.02812223073,46.0711516494218,0,0
3,93,55,942.978806072301,45.4851215463207,0,0
NA,93,20221,1726.09565309581,47.100226975537,0,0
1,94,6665,1581.57909847858,45.9853081785678,0,0
2,94,582,1094.02812223073,46.0711516494218,0,0
3,94,55,942.978806072301,45.4851215463207,0,0
NA,94,20221,1726.09565309581,47.100226975537,0,0
1,95,6665,1581.57909847858,45.9853081785678,0,0
2,95,582,1094.02812223073,46.0711516494218,0,0
3,95,55,942.978806072301,45.4851215463207,0,0
NA,95,20221,1726.09565309581,47.100226975537,0,0
1,96,6665,1581.57909847858,45.9853081785678,0,0
2,96,582,1094.02812223073,46.0711516494218,0,0
3,96,55,942.978806072301,45.4851215463207,0,0
NA,96,20221,1726.09565309581,47.100226975537,0,0
1,97,6665,1581.57909847858,45.9853081785678,0,0
2,97,582,1094.02812223073,46.0711516494218,0,0
3,97,55,942.978806072301,45.4851215463207,0,0
NA,97,20221,1726.09565309581,47.100226975537,0,0
1,98,6665,1581.57909847858,45.9853081785678,0,0
2,98,582,1094.02812223073,46.0711516494218,0,0
3,98,55,942.978806072301,45.4851215463207,0,0
NA,98,20221,1726.09565309581,47.100226975537,0,0
1,99,6665,1581.57909847858,45.9853081785678,0,0
2,99,582,1094.02812223073,46.0711516494218,0,0
3,99,55,942.978806072301,45.4851215463207,0,0
NA,99,20221,1726.09565309581,47.100226975537,0,0
1,100,6665,1581.57909847858,45.9853081785678,0,0
2,100,582,1094.02812223073,46.0711516494218,0,0
3,100,55,942.978806072301,45.4851215463207,0,0
NA,100,20221,1726.09565309581,47.100226975537,0,0
