,LSOA11CD
212979,S01010434
212980,S01010432
212981,S01010438
212982,S01010438
212983,S01010496
212984,S01010306
212985,S01010303
212986,S01010304
212987,S01010304
212988,S01010314
212989,S01010314
212990,S01010316
212991,S01010316
212992,S01010314
212993,S01010320
212994,S01010320
212995,S01009845
212996,S01009870
212997,S01010226
212998,S01010261
212999,S01009863
213000,S01009861
213001,S01009860
213002,S01010353
213003,S01009860
213004,S01010227
213005,S01010261
213006,S01009859
213007,S01010231
213008,S01010227
213009,S01010035
213010,S01010231
213011,S01010035
213012,S01010219
213013,S01010230
213014,S01009859
213015,S01010034
213016,S01010219
213017,S01010230
213018,S01009842
213019,S01010219
213020,S01009841
213021,S01010230
213022,S01010218
213023,S01010453
213024,S01009841
213025,S01010230
213026,S01010231
213027,S01010230
213028,S01010232
213029,S01010453
213030,S01010230
213031,S01009842
213032,S01010232
213033,S01010430
213034,S01010230
213035,S01010499
213036,S01010233
213037,S01009846
213038,S01009876
213039,S01010499
213040,S01010225
213041,S01010233
213042,S01010302
213043,S01010225
213044,S01009891
213045,S01009841
213046,S01009893
213047,S01010302
213048,S01010232
213049,S01010212
213050,S01009841
213051,S01009887
213052,S01010299
213053,S01010232
213054,S01010205
213055,S01009846
213056,S01009844
213057,S01009844
213058,S01009845
213059,S01009845
213060,S01009845
213061,S01009847
213062,S01009813
213063,S01009813
213064,S01009813
213065,S01009813
213066,S01009807
213067,S01009808
213068,S01009808
213069,S01009808
213070,S01009808
213071,S01009808
213072,S01010303
213073,S01010298
213074,S01010320
213075,S01010225
213076,S01010224
213077,S01010243
213078,S01010038
213079,S01010043
213080,S01009878
213081,S01010312
213082,S01009892
213083,S01010233
213084,S01010311
213085,S01009891
213086,S01009890
213087,S01009892
213088,S01010359
213089,S01010233
213090,S01009890
213091,S01010361
213092,S01010311
213093,S01010232
213094,S01009898
213095,S01010227
213096,S01010207
213097,S01009895
213098,S01010227
213099,S01010255
213100,S01010206
213101,S01009896
213102,S01009892
213103,S01009892
213104,S01009892
213105,S01009897
213106,S01009894
213107,S01009894
213108,S01009894
213109,S01009894
213110,S01009895
213111,S01009889
213112,S01009889
213113,S01009887
213114,S01009890
213115,S01009887
213116,S01009887
213117,S01009889
213118,S01009888
213119,S01009888
213120,S01010021
213121,S01009938
213122,S01009937
213123,S01009937
213124,S01009933
213125,S01009934
213126,S01009948
213127,S01009949
213128,S01010255
213129,S01010253
213130,S01010206
213131,S01010243
213132,S01010243
213133,S01010310
213134,S01010243
213135,S01010226
213136,S01010310
213137,S01010310
213138,S01010254
213139,S01010244
213140,S01010057
213141,S01010052
213142,S01010160
213143,S01010160
213144,S01010160
213145,S01010046
213146,S01009875
213147,S01009871
213148,S01010033
213149,S01010021
213150,S01010021
213151,S01010021
213152,S01010021
213153,S01009937
213154,S01009933
213155,S01009933
213156,S01010240
213157,S01010239
213158,S01010239
213159,S01010051
213160,S01010049
213161,S01010066
213162,S01010058
213163,S01010177
213164,S01010169
213165,S01010160
213166,S01010160
213167,S01010160
213168,S01010044
213169,S01010042
213170,S01010053
213171,S01009882
213172,S01009882
213173,S01009875
213174,S01009875
213175,S01009907
213176,S01010226
213177,S01010226
213178,S01010226
213179,S01010230
213180,S01010230
213181,S01010233
213182,S01010233
213183,S01010202
213184,S01010202
213185,S01010207
213186,S01010207
213187,S01010206
213188,S01010206
213189,S01010206
213190,S01010206
213191,S01009897
213192,S01009933
213193,S01009933
213194,S01009939
213195,S01009939
213196,S01009939
213197,S01009838
213198,S01009807
213199,S01010296
213200,S01010500
213201,S01009948
213202,S01010500
213203,S01009775
213204,S01009942
213205,S01010118
213206,S01010171
213207,S01010500
213208,S01010502
213209,S01010498
213210,S01010497
213211,S01010497
213212,S01010498
213213,S01010498
213214,S01010498
213215,S01010498
213216,S01010498
213217,S01010498
213218,S01010305
213219,S01010312
213220,S01010327
213221,S01010326
213222,S01010326
213223,S01010326
213224,S01010352
213225,S01010221
213226,S01010221
213227,S01010231
213228,S01010232
213229,S01010195
213230,S01010198
213231,S01010197
213232,S01010197
213233,S01010196
213234,S01010196
213235,S01010196
213236,S01010196
213237,S01010185
213238,S01010199
213239,S01010312
213240,S01010312
213241,S01010312
213242,S01010326
213243,S01010325
213244,S01010324
213245,S01010324
213246,S01010332
213247,S01010332
213248,S01010335
213249,S01010338
213250,S01010334
213251,S01010344
213252,S01010344
213253,S01010337
213254,S01010337
213255,S01010119
213256,S01010350
213257,S01010119
213258,S01010111
213259,S01010120
