,LSOA11CD
172068,S01007520
172069,S01007563
172070,S01007668
172071,S01007656
172072,S01007499
172073,S01007579
172074,S01007633
172075,S01007647
172076,S01007649
172077,S01007649
172078,S01007648
172079,S01007560
172080,S01007644
172081,S01007644
172082,S01007643
172083,S01007642
172084,S01007556
172085,S01007557
172086,S01007552
172087,S01007552
172088,S01007586
172089,S01007653
172090,S01007633
172091,S01007649
172092,S01007561
172093,S01007642
172094,S01007500
172095,S01007492
172096,S01007537
172097,S01007518
172098,S01007670
172099,S01007678
172100,S01007585
172101,S01007493
172102,S01007507
172103,S01007522
172104,S01007522
172105,S01007503
172106,S01007664
172107,S01007663
172108,S01007669
172109,S01007669
172110,S01007593
172111,S01007636
172112,S01007637
172113,S01007632
172114,S01007644
172115,S01007676
172116,S01007657
172117,S01007645
172118,S01007645
172119,S01007641
172120,S01007641
172121,S01007519
172122,S01007634
172123,S01007606
172124,S01007660
172125,S01007563
172126,S01007589
172127,S01007509
172128,S01007640
172129,S01007656
172130,S01007655
172131,S01007562
172132,S01007650
172133,S01007656
172134,S01007512
172135,S01007571
172136,S01007678
172137,S01007488
172138,S01007508
172139,S01007657
172140,S01007592
172141,S01007571
172142,S01007559
172143,S01007668
172144,S01007509
172145,S01007657
172146,S01007572
172147,S01007521
172148,S01007521
172149,S01007523
172150,S01007487
172151,S01007487
172152,S01007611
172153,S01007488
172154,S01007487
172155,S01007666
172156,S01007622
172157,S01007614
172158,S01007614
172159,S01007573
172160,S01007573
172161,S01007538
172162,S01007481
172163,S01007603
172164,S01007603
172165,S01007600
172166,S01007603
172167,S01007623
172168,S01007623
172169,S01007661
172170,S01007613
172171,S01007613
172172,S01007589
172173,S01007587
172174,S01007642
172175,S01007600
172176,S01007600
172177,S01007599
172178,S01007560
172179,S01007570
172180,S01007535
172181,S01007491
172182,S01007486
172183,S01007485
172184,S01007485
172185,S01007484
172186,S01007486
172187,S01007486
172188,S01007487
172189,S01007565
172190,S01007488
172191,S01007559
172192,S01007586
172193,S01007631
172194,S01007510
172195,S01007485
172196,S01007559
172197,S01007586
172198,S01007510
172199,S01007631
172200,S01007537
172201,S01007559
172202,S01007584
172203,S01007510
172204,S01007634
172205,S01007656
172206,S01007656
172207,S01007634
172208,S01007640
172209,S01007656
172210,S01007640
172211,S01007655
