FeatureCode,FeatureName,FeatureType,DateCode,Measurement,Units,Value
S01001682,S01001682,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,3
S01006390,S01006390,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,2
S01001684,S01001684,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,5
S01001685,S01001685,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,1
S01001683,S01001683,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,1
S01006389,S01006389,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,2
S01001693,S01001693,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,1
S01006383,S01006383,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,2
S01006384,S01006384,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,2
S01001692,S01001692,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,1
S01001695,S01001695,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,1
S01006382,S01006382,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,2
S01001694,S01001694,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,1
S01004156,S01004156,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,5
S01001690,S01001690,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,1
S01006385,S01006385,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,2
S01001689,S01001689,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,1
S01004157,S01004157,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,5
S01004883,S01004883,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,2
S01004161,S01004161,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,5
S01001691,S01001691,2001 Data Zone,2011/2012,Rank,6-Fold Urban Rural Classification,1
