DZ code,DZ name,LA code,LA name,Cluster
S01006630,Torry West - 07,S12000033,Aberdeen City,2.0
S01006631,Torry East - 01,S12000033,Aberdeen City,2.0
S01006632,Torry East - 02,S12000033,Aberdeen City,2.0
S01006633,Torry East - 03,S12000033,Aberdeen City,2.0
S01006634,Torry East - 04,S12000033,Aberdeen City,2.0
S01006635,Torry East - 05,S12000033,Aberdeen City,2.0
S01006636,Torry East - 06,S12000033,Aberdeen City,2.0
S01006637,Hanover South - 01,S12000033,Aberdeen City,2.0
S01006638,Hanover South - 02,S12000033,Aberdeen City,2.0
S01006639,Hanover South - 03,S12000033,Aberdeen City,2.0
S01006640,Hanover South - 04,S12000033,Aberdeen City,2.0
S01006641,Hanover North - 01,S12000033,Aberdeen City,2.0
S01006642,Hanover North - 02,S12000033,Aberdeen City,2.0
S01006643,Hanover North - 03,S12000033,Aberdeen City,2.0
S01006644,Hanover North - 04,S12000033,Aberdeen City,2.0
S01006645,George Street - 01,S12000033,Aberdeen City,2.0
S01006646,George Street - 02,S12000033,Aberdeen City,2.0
S01006647,George Street - 03,S12000033,Aberdeen City,2.0
S01006648,George Street - 04,S12000033,Aberdeen City,2.0
S01006649,George Street - 05,S12000033,Aberdeen City,2.0
S01006650,George Street - 06,S12000033,Aberdeen City,2.0
S01006651,George Street - 07,S12000033,Aberdeen City,2.0
S01006652,George Street - 08,S12000033,Aberdeen City,2.0
S01006653,Ashgrove - 01,S12000033,Aberdeen City,2.0
S01006654,Ashgrove - 02,S12000033,Aberdeen City,2.0
S01006655,Ashgrove - 03,S12000033,Aberdeen City,2.0
S01006656,Ashgrove - 04,S12000033,Aberdeen City,2.0
S01006657,Ashgrove - 05,S12000033,Aberdeen City,2.0
S01006658,"Froghall, Powis and Sunnybank - 01",S12000033,Aberdeen City,2.0
S01006659,"Froghall, Powis and Sunnybank - 02",S12000033,Aberdeen City,2.0
S01006660,"Froghall, Powis and Sunnybank - 03",S12000033,Aberdeen City,2.0
S01006661,"Froghall, Powis and Sunnybank - 04",S12000033,Aberdeen City,2.0
S01006662,"Froghall, Powis and Sunnybank - 05",S12000033,Aberdeen City,2.0
S01006663,"Froghall, Powis and Sunnybank - 06",S12000033,Aberdeen City,2.0
S01006664,"Froghall, Powis and Sunnybank - 07",S12000033,Aberdeen City,2.0
S01006665,"Froghall, Powis and Sunnybank - 08",S12000033,Aberdeen City,2.0
S01006666,Seaton - 01,S12000033,Aberdeen City,2.0
S01006667,Seaton - 02,S12000033,Aberdeen City,2.0
S01006668,Seaton - 03,S12000033,Aberdeen City,2.0
S01006669,Seaton - 04,S12000033,Aberdeen City,2.0
S01006670,Seaton - 05,S12000033,Aberdeen City,2.0
S01006671,Old Aberdeen - 01,S12000033,Aberdeen City,2.0
S01006672,Old Aberdeen - 02,S12000033,Aberdeen City,2.0
S01006673,Old Aberdeen - 03,S12000033,Aberdeen City,2.0
S01006674,Old Aberdeen - 04,S12000033,Aberdeen City,2.0
S01006675,Tillydrone - 01,S12000033,Aberdeen City,2.0
S01006676,Tillydrone - 02,S12000033,Aberdeen City,2.0
S01006677,Tillydrone - 03,S12000033,Aberdeen City,2.0
S01006678,Tillydrone - 04,S12000033,Aberdeen City,2.0
S01006679,Tillydrone - 05,S12000033,Aberdeen City,2.0
S01006680,Tillydrone - 06,S12000033,Aberdeen City,2.0
S01006681,Woodside - 01,S12000033,Aberdeen City,2.0
S01006682,Woodside - 02,S12000033,Aberdeen City,2.0
S01006683,Woodside - 03,S12000033,Aberdeen City,2.0
S01006684,Woodside - 04,S12000033,Aberdeen City,2.0
S01006685,Woodside - 05,S12000033,Aberdeen City,2.0
S01006686,Hilton - 01,S12000033,Aberdeen City,2.0
S01006687,Hilton - 02,S12000033,Aberdeen City,2.0
S01006688,Hilton - 03,S12000033,Aberdeen City,2.0
S01006689,Hilton - 04,S12000033,Aberdeen City,2.0
S01006690,Hilton - 05,S12000033,Aberdeen City,2.0
S01006691,Hilton - 06,S12000033,Aberdeen City,2.0
S01006692,Hilton - 07,S12000033,Aberdeen City,2.0
S01006693,Hilton - 08,S12000033,Aberdeen City,2.0
S01006694,Stockethill - 01,S12000033,Aberdeen City,2.0
S01006695,Stockethill - 02,S12000033,Aberdeen City,2.0
S01006696,Stockethill - 03,S12000033,Aberdeen City,2.0
S01006697,Stockethill - 04,S12000033,Aberdeen City,2.0
S01006698,Stockethill - 05,S12000033,Aberdeen City,2.0
S01006699,Stockethill - 06,S12000033,Aberdeen City,2.0
S01006700,Stockethill - 07,S12000033,Aberdeen City,2.0
S01006701,Mastrick - 01,S12000033,Aberdeen City,2.0
S01006702,Mastrick - 02,S12000033,Aberdeen City,2.0
S01006703,Mastrick - 03,S12000033,Aberdeen City,2.0
S01006704,Mastrick - 04,S12000033,Aberdeen City,2.0
S01006705,Mastrick - 05,S12000033,Aberdeen City,2.0
S01006706,Mastrick - 06,S12000033,Aberdeen City,2.0
S01006707,Mastrick - 07,S12000033,Aberdeen City,2.0
S01006708,Sheddocksley - 01,S12000033,Aberdeen City,2.0
S01006709,Sheddocksley - 02,S12000033,Aberdeen City,2.0
S01006710,Sheddocksley - 03,S12000033,Aberdeen City,2.0
S01006711,Sheddocksley - 04,S12000033,Aberdeen City,2.0
S01006712,Sheddocksley - 05,S12000033,Aberdeen City,2.0
S01006713,Sheddocksley - 06,S12000033,Aberdeen City,2.0
S01006714,Cummings Park - 01,S12000033,Aberdeen City,2.0
S01006715,Cummings Park - 02,S12000033,Aberdeen City,2.0
S01006716,Cummings Park - 03,S12000033,Aberdeen City,2.0
S01006717,Cummings Park - 04,S12000033,Aberdeen City,2.0
S01006718,Cummings Park - 05,S12000033,Aberdeen City,2.0
S01006719,Northfield - 01,S12000033,Aberdeen City,2.0
S01006720,Northfield - 02,S12000033,Aberdeen City,2.0
S01006721,Northfield - 03,S12000033,Aberdeen City,2.0
S01006722,Northfield - 04,S12000033,Aberdeen City,2.0
S01006723,Northfield - 05,S12000033,Aberdeen City,2.0
S01006724,Northfield - 06,S12000033,Aberdeen City,2.0
S01006725,Northfield - 07,S12000033,Aberdeen City,2.0
S01006726,Heathryfold and Middlefield - 01,S12000033,Aberdeen City,2.0
S01006727,Heathryfold and Middlefield - 02,S12000033,Aberdeen City,2.0
S01006728,Heathryfold and Middlefield - 03,S12000033,Aberdeen City,2.0
S01006729,Heathryfold and Middlefield - 04,S12000033,Aberdeen City,2.0
S01006730,Heathryfold and Middlefield - 05,S12000033,Aberdeen City,2.0
S01006731,Heathryfold and Middlefield - 06,S12000033,Aberdeen City,2.0
S01006732,Kingswells - 01,S12000033,Aberdeen City,2.0
S01006733,Kingswells - 02,S12000033,Aberdeen City,2.0
S01006734,Kingswells - 03,S12000033,Aberdeen City,2.0
S01006735,Kingswells - 04,S12000033,Aberdeen City,2.0
S01006736,Kingswells - 05,S12000033,Aberdeen City,2.0
S01006737,Kingswells - 06,S12000033,Aberdeen City,2.0
S01006738,Bucksburn South - 01,S12000033,Aberdeen City,2.0
S01006739,Bucksburn South - 02,S12000033,Aberdeen City,2.0
S01006740,Bucksburn South - 03,S12000033,Aberdeen City,2.0
S01006741,Bucksburn South - 04,S12000033,Aberdeen City,2.0
S01006742,Bucksburn South - 05,S12000033,Aberdeen City,2.0
S01006743,Bucksburn North - 01,S12000033,Aberdeen City,2.0
S01006744,Bucksburn North - 02,S12000033,Aberdeen City,2.0
S01006745,Bucksburn North - 03,S12000033,Aberdeen City,2.0
S01006746,Bucksburn North - 04,S12000033,Aberdeen City,2.0
S01006747,Bucksburn North - 05,S12000033,Aberdeen City,2.0
S01006748,Bucksburn North - 06,S12000033,Aberdeen City,2.0
S01006749,Dyce - 01,S12000033,Aberdeen City,2.0
S01006750,Dyce - 02,S12000033,Aberdeen City,2.0
S01006751,Dyce - 03,S12000033,Aberdeen City,2.0
S01006752,Dyce - 04,S12000033,Aberdeen City,2.0
S01006753,Dyce - 05,S12000033,Aberdeen City,2.0
S01006754,Dyce - 06,S12000033,Aberdeen City,2.0
S01006755,Dyce - 07,S12000033,Aberdeen City,2.0
S01006756,Danestone - 01,S12000033,Aberdeen City,2.0
S01006757,Danestone - 02,S12000033,Aberdeen City,2.0
S01006758,Danestone - 03,S12000033,Aberdeen City,2.0
S01006759,Danestone - 04,S12000033,Aberdeen City,2.0
S01006760,Danestone - 05,S12000033,Aberdeen City,2.0
S01006761,Danestone - 06,S12000033,Aberdeen City,2.0
S01006762,Oldmachar West - 01,S12000033,Aberdeen City,2.0
S01006763,Oldmachar West - 02,S12000033,Aberdeen City,2.0
S01006764,Oldmachar West - 03,S12000033,Aberdeen City,2.0
S01006765,Oldmachar West - 04,S12000033,Aberdeen City,2.0
S01006766,Oldmachar West - 05,S12000033,Aberdeen City,2.0
S01006767,Oldmachar West - 06,S12000033,Aberdeen City,2.0
S01006768,Oldmachar East - 01,S12000033,Aberdeen City,2.0
S01006769,Oldmachar East - 02,S12000033,Aberdeen City,2.0
S01006770,Oldmachar East - 03,S12000033,Aberdeen City,2.0
S01006771,Oldmachar East - 04,S12000033,Aberdeen City,2.0
S01006772,Oldmachar East - 05,S12000033,Aberdeen City,2.0
S01006773,Oldmachar East - 06,S12000033,Aberdeen City,2.0
S01006774,Oldmachar East - 07,S12000033,Aberdeen City,2.0
S01006775,Balgownie and Donmouth West - 01,S12000033,Aberdeen City,2.0
S01006776,Balgownie and Donmouth West - 02,S12000033,Aberdeen City,2.0
S01006777,Balgownie and Donmouth West - 03,S12000033,Aberdeen City,2.0
S01006778,Balgownie and Donmouth West - 04,S12000033,Aberdeen City,2.0
S01006779,Balgownie and Donmouth West - 05,S12000033,Aberdeen City,2.0
S01006780,Balgownie and Donmouth West - 06,S12000033,Aberdeen City,2.0
S01006781,Balgownie and Donmouth East - 01,S12000033,Aberdeen City,2.0
S01006782,Balgownie and Donmouth East - 02,S12000033,Aberdeen City,2.0
S01006783,Balgownie and Donmouth East - 03,S12000033,Aberdeen City,2.0
S01006784,Balgownie and Donmouth East - 04,S12000033,Aberdeen City,2.0
S01006785,Denmore - 01,S12000033,Aberdeen City,2.0
S01006786,Denmore - 02,S12000033,Aberdeen City,2.0
S01006787,Denmore - 03,S12000033,Aberdeen City,2.0
S01006788,Denmore - 04,S12000033,Aberdeen City,2.0
S01006789,East Cairngorms - 01,S12000034,Aberdeenshire,2.0
S01006790,East Cairngorms - 02,S12000034,Aberdeenshire,2.0
S01006791,East Cairngorms - 03,S12000034,Aberdeenshire,2.0
S01006792,East Cairngorms - 04,S12000034,Aberdeenshire,2.0
S01006793,East Cairngorms - 05,S12000034,Aberdeenshire,2.0
S01006794,Aboyne and South Deeside - 01,S12000034,Aberdeenshire,2.0
S01006795,Aboyne and South Deeside - 02,S12000034,Aberdeenshire,2.0
S01006796,Aboyne and South Deeside - 03,S12000034,Aberdeenshire,2.0
S01006797,Aboyne and South Deeside - 04,S12000034,Aberdeenshire,2.0
S01006798,Aboyne and South Deeside - 05,S12000034,Aberdeenshire,2.0
S01006799,Aboyne and South Deeside - 06,S12000034,Aberdeenshire,2.0
S01006800,Aboyne and South Deeside - 07,S12000034,Aberdeenshire,2.0
S01006801,Mearns and Laurencekirk - 01,S12000034,Aberdeenshire,2.0
S01006802,Mearns and Laurencekirk - 02,S12000034,Aberdeenshire,2.0
S01006803,Mearns and Laurencekirk - 03,S12000034,Aberdeenshire,2.0
S01006804,Mearns and Laurencekirk - 04,S12000034,Aberdeenshire,2.0
S01006805,Mearns and Laurencekirk - 05,S12000034,Aberdeenshire,2.0
S01006806,Mearns South and Benholm - 01,S12000034,Aberdeenshire,2.0
S01006807,Mearns South and Benholm - 02,S12000034,Aberdeenshire,2.0
S01006808,Mearns South and Benholm - 03,S12000034,Aberdeenshire,2.0
S01006809,Mearns South and Benholm - 04,S12000034,Aberdeenshire,2.0
S01006810,Mearns South and Benholm - 05,S12000034,Aberdeenshire,2.0
S01006811,Mearns North and Inverbervie - 01,S12000034,Aberdeenshire,2.0
