"","LSOA11CD"
"620","E01012056"
"621","E01012056"
"622","E01012058"
"623","E01012081"
"624","E01012081"
"625","E01012041"
"626","E01012059"
"627","E01012059"
"628","E01012077"
"629","E01012089"
"630","E01012094"
"631","E01033469"
"632","E01012009"
"633","E01012009"
"634","E01012026"
"635","E01012053"
"636","E01012054"
"637","E01012055"
"638","E01012054"
"639","E01012061"
"640","E01012053"
"641","E01012060"
"642","E01012159"
"643","E01032553"
"644","E01012056"
"645","E01012057"
"646","E01012064"
"647","E01012008"
"648","E01012007"
"649","E01012010"
"650","E01012007"
"651","E01012010"
"652","E01012009"
"653","E01012025"
"654","E01012022"
"655","E01012025"
"656","E01033469"
"657","E01012048"
"658","E01012048"
"659","E01012046"
"660","E01012047"
"661","E01012047"
"662","E01012047"
"663","E01012047"
"664","E01012052"
"665","E01012053"
"666","E01012055"
"667","E01012053"
"668","E01012067"
"669","E01012023"
"670","E01012023"
"671","E01012046"
"672","E01012046"
"673","E01012159"
"674","E01012016"
"675","E01012165"
"676","E01012171"
"677","E01012060"
"678","E01012042"
"679","E01012140"
"680","E01012061"
"681","E01012060"
"682","E01012060"
"683","E01012075"
"684","E01012075"
"685","E01012074"
"686","E01012075"
"687","E01012076"
"688","E01012077"
"689","E01012076"
"690","E01012076"
"691","E01012076"
"692","E01012075"
"693","E01012082"
"694","E01012082"
"695","E01012084"
"696","E01012085"
"697","E01012085"
"698","E01012085"
"699","E01012084"
"700","E01012085"
"701","E01012082"
"702","E01012085"
"703","E01012083"
"704","E01012084"
"705","E01012083"
"706","E01012083"
"707","E01012084"
"708","E01032552"
"709","E01012090"
"710","E01012091"
"711","E01012091"
"712","E01012091"
"713","E01012089"
"714","E01012090"
"715","E01012089"
"716","E01012089"
"717","E01012088"
"718","E01012158"
"719","E01012180"
"720","E01032594"
"721","E01012111"
"722","E01012117"
"723","E01012042"
"724","E01012118"
"725","E01012129"
"726","E01012047"
"727","E01012142"
"728","E01012036"
"729","E01012145"
"730","E01012149"
"731","E01012157"
"732","E01012155"
"733","E01012155"
"734","E01012168"
"735","E01012178"
"736","E01012181"
"737","E01032560"
"738","E01012099"
"739","E01012117"
"740","E01012132"
"741","E01012132"
"742","E01012134"
"743","E01033473"
"744","E01012143"
"745","E01012181"
"746","E01012184"
"747","E01012120"
"748","E01012100"
"749","E01012111"
"750","E01012150"
"751","E01032548"
"752","E01012130"
"753","E01012138"
"754","E01012163"
"755","E01012177"
"756","E01012180"
"757","E01012138"
"758","E01012138"
"759","E01012036"
"760","E01012038"
"761","E01012040"
"762","E01012040"
"763","E01012057"
"764","E01033468"
"765","E01033468"
"766","E01012078"
"767","E01012081"
"768","E01012078"
"769","E01012094"
"770","E01012094"
"771","E01012093"
"772","E01012093"
"773","E01012093"
"774","E01012093"
"775","E01012094"
"776","E01012037"
"777","E01012058"
"778","E01012078"
"779","E01012094"
"780","E01033468"
"781","E01012015"
"782","E01012017"
"783","E01012035"
"784","E01012035"
"785","E01012031"
"786","E01012049"
"787","E01012059"
"788","E01012077"
"789","E01032593"
"790","E01012033"
"791","E01012015"
"792","E01012019"
"793","E01032553"
"794","E01012035"
"795","E01012049"
"796","E01012064"
"797","E01012067"
"798","E01012065"
"799","E01012010"
"800","E01012007"
