DZ,DZname,SIMD2020v2_Rank,SIMD2020v2_Vigintile,SIMD2020v2_Decile,SIMD2020v2_Quintile,SIMD2020v2_Income_Domain_Rank,SIMD2020_Employment_Domain_Rank,SIMD2020_Education_Domain_Rank,SIMD2020_Health_Domain_Rank,SIMD2020_Access_Domain_Rank,SIMD2020_Crime_Domain_Rank,SIMD2020_Housing_Domain_Rank,Population,Working_Age_Population,URclass,URname,IZcode,IZname,LAcode,LAname,HBcode,HBname,MMWcode,MMWname,SPCcode,SPCname
S01006542,"Braeside, Mannofield, Broomhill and Seafiel",6751,20,10,5,6862,6611,6535,6667,2069,5703,6239,1131,664,1,Large Urban Areas,S02001242,"Braeside, Mannofield, Broomhill and Seafield North",S12000033,Aberdeen City,S08000020,Grampian,S13002844,Hazlehead/Queens Cross/Countesswells,S16000076,Aberdeen South and North Kincardine
S01006543,"Braeside, Mannofield, Broomhill and Seafiel",6756,20,10,5,6641,6493,6676,5682,2700,6928,6900,792,453,1,Large Urban Areas,S02001242,"Braeside, Mannofield, Broomhill and Seafield North",S12000033,Aberdeen City,S08000020,Grampian,S13002845,Airyhall/Broomhill/Garthdee,S16000076,Aberdeen South and North Kincardine
S01006544,"Braeside, Mannofield, Broomhill and Seafiel",6937,20,10,5,6644,6927,6534,6511,4316,6663,3379.5,1283,862,1,Large Urban Areas,S02001242,"Braeside, Mannofield, Broomhill and Seafield North",S12000033,Aberdeen City,S08000020,Grampian,S13002844,Hazlehead/Queens Cross/Countesswells,S16000076,Aberdeen South and North Kincardine
S01006545,"Braeside, Mannofield, Broomhill and Seafiel",6594,19,10,5,6217.5,5967,6408,6012,4572,3834,4757,1120,731,1,Large Urban Areas,S02001242,"Braeside, Mannofield, Broomhill and Seafield North",S12000033,Aberdeen City,S08000020,Grampian,S13002845,Airyhall/Broomhill/Garthdee,S16000076,Aberdeen South and North Kincardine
S01006546,"Braeside, Mannofield, Broomhill and Seafiel",6951,20,10,5,6663.5,5953,6966,6305,6399,6928,6799,624,387,1,Large Urban Areas,S02001242,"Braeside, Mannofield, Broomhill and Seafield North",S12000033,Aberdeen City,S08000020,Grampian,S13002844,Hazlehead/Queens Cross/Countesswells,S16000076,Aberdeen South and North Kincardine
S01006547,Hazlehead - 01,3784,11,6,3,4021,3752,6395,4381,661,2085,4090,1242,752,1,Large Urban Areas,S02001243,Hazlehead,S12000033,Aberdeen City,S08000020,Grampian,S13002844,Hazlehead/Queens Cross/Countesswells,S16000076,Aberdeen South and North Kincardine
S01006548,Hazlehead - 02,6455,19,10,5,6623,6264,6765,6698,1259,6928,6499,658,361,1,Large Urban Areas,S02001243,Hazlehead,S12000033,Aberdeen City,S08000020,Grampian,S13002844,Hazlehead/Queens Cross/Countesswells,S16000076,Aberdeen South and North Kincardine
S01006549,Hazlehead - 03,6820,20,10,5,6908,6827,6819,6466,2363,5084,6004,796,503,1,Large Urban Areas,S02001243,Hazlehead,S12000033,Aberdeen City,S08000020,Grampian,S13002844,Hazlehead/Queens Cross/Countesswells,S16000076,Aberdeen South and North Kincardine
S01006550,Hazlehead - 04,6760,20,10,5,6875,6706,6963,6378,2008,5324,6585,900,508,1,Large Urban Areas,S02001243,Hazlehead,S12000033,Aberdeen City,S08000020,Grampian,S13002844,Hazlehead/Queens Cross/Countesswells,S16000076,Aberdeen South and North Kincardine
S01006551,Hazlehead - 05,1474,5,3,2,1882,999,3550,2047,1754,523,1502,704,431,1,Large Urban Areas,S02001243,Hazlehead,S12000033,Aberdeen City,S08000020,Grampian,S13002844,Hazlehead/Queens Cross/Countesswells,S16000076,Aberdeen South and North Kincardine
