"DataZone","Name","Council","% of children in poverty"
"S01009934","Pollokshaws - 02","Glasgow City",8.6
"S01009935","Pollokshaws - 03","Glasgow City",31.9
"S01009936","Pollokshaws - 04","Glasgow City",20
"S01009937","Pollokshaws - 05","Glasgow City",11.9
"S01009938","Pollokshaws - 06","Glasgow City",40.5
"S01009939","Carnwadric West - 01","Glasgow City",57.8
"S01009940","Carnwadric West - 02","Glasgow City",43
"S01009941","Carnwadric West - 03","Glasgow City",47.9
"S01009942","Carnwadric West - 04","Glasgow City",62.1
"S01009943","Carnwadric West - 05","Glasgow City",53.6
"S01009944","Carnwadric East - 01","Glasgow City",35.9
"S01009945","Carnwadric East - 02","Glasgow City",37.6
"S01009946","Carnwadric East - 03","Glasgow City",33.3
"S01009947","Carnwadric East - 04","Glasgow City",37.7
"S01009948","Newlands - 01","Glasgow City",40.9
"S01009949","Newlands - 02","Glasgow City",38.4
"S01009950","Newlands - 03","Glasgow City",10.8
"S01009951","Newlands - 04","Glasgow City",16.1
"S01009952","Newlands - 05","Glasgow City",6.5
"S01009953","Newlands - 06","Glasgow City",16.1
"S01009954","Newlands - 07","Glasgow City",30.1
"S01009955","Merrylee and Millbrae - 01","Glasgow City",29.7
"S01009956","Merrylee and Millbrae - 02","Glasgow City",20.6
"S01009957","Merrylee and Millbrae - 03","Glasgow City",0
"S01009958","Merrylee and Millbrae - 04","Glasgow City",8.1
"S01009959","Muirend and Old Cathcart - 01","Glasgow City",12.1
"S01009960","Muirend and Old Cathcart - 02","Glasgow City",6.9
"S01009961","Muirend and Old Cathcart - 03","Glasgow City",11.8
"S01009962","Muirend and Old Cathcart - 04","Glasgow City",9.7
"S01009963","Muirend and Old Cathcart - 05","Glasgow City",7.7
"S01009964","Muirend and Old Cathcart - 06","Glasgow City",14.2
"S01009965","Carmunnock North - 01","Glasgow City",7.2
"S01009966","Carmunnock North - 02","Glasgow City",6.3
"S01009967","Carmunnock North - 03","Glasgow City",7.2
"S01009968","Carmunnock North - 04","Glasgow City",14.2
"S01009969","Carmunnock South - 01","Glasgow City",4.4
"S01009970","Carmunnock South - 02","Glasgow City",48.7
"S01009971","Carmunnock South - 03","Glasgow City",34.4
"S01009972","Carmunnock South - 04","Glasgow City",16.6
"S01009973","Glenwood South - 01","Glasgow City",31.9
"S01009974","Glenwood South - 02","Glasgow City",47.1
"S01009975","Glenwood South - 03","Glasgow City",38.9
"S01009976","Glenwood South - 04","Glasgow City",59.2
"S01009977","Glenwood South - 05","Glasgow City",41.3
"S01009978","Glenwood South - 06","Glasgow City",41.7
"S01009979","Glenwood South - 07","Glasgow City",23.5
"S01009980","Glenwood North - 01","Glasgow City",31.3
